NUM_OF_TRIANGLES 12

// Geometry format = position (x y z), texture (u v)
-50.0, -50.0, +50.0,	0.0, 1.0
+50.0, -50.0, +50.0,	1.0, 1.0
+50.0, +50.0, +50.0,	1.0, 0.0

+50.0, +50.0, +50.0,	1.0, 0.0
-50.0, +50.0, +50.0,	0.0, 0.0
-50.0, -50.0, +50.0,	0.0, 1.0

+50.0, -50.0, +50.0,   0.0, 1.0
+50.0, -50.0, -50.0,   1.0, 1.0
+50.0, +50.0, -50.0,   1.0, 0.0

+50.0, +50.0, -50.0,   1.0, 0.0
+50.0, +50.0, +50.0,   0.0, 0.0
+50.0, -50.0, +50.0,   0.0, 1.0

-50.0, -50.0, -50.0,   0.0, 1.0
-50.0, -50.0, +50.0,   1.0, 1.0
-50.0, +50.0, +50.0,   1.0, 0.0

-50.0, +50.0, +50.0,   1.0, 0.0
-50.0, +50.0, -50.0,   0.0, 0.0
-50.0, -50.0, -50.0,   0.0, 1.0

-50.0, -50.0, -50.0,   0.0, 1.0
+50.0, -50.0, -50.0,   1.0, 1.0
+50.0, +50.0, -50.0,   1.0, 0.0

+50.0, +50.0, -50.0,   1.0, 0.0
-50.0, +50.0, -50.0,   0.0, 0.0
-50.0, -50.0, -50.0,   0.0, 1.0

-50.0, +50.0, +50.0,   0.0, 1.0
+50.0, +50.0, +50.0,   1.0, 1.0
+50.0, +50.0, -50.0,   1.0, 0.0

+50.0, +50.0, -50.0,   1.0, 0.0
-50.0, +50.0, -50.0,   0.0, 0.0
-50.0, +50.0, +50.0,   0.0, 1.0

-50.0, -50.0, +50.0,   0.0, 1.0
+50.0, -50.0, +50.0,   1.0, 1.0
+50.0, -50.0, -50.0,   1.0, 0.0

+50.0, -50.0, -50.0,   1.0, 0.0
-50.0, -50.0, -50.0,   0.0, 0.0
-50.0, -50.0, +50.0,   0.0, 1.0
